gene,importance
ENSG00000185187.13,0.018586354
ENSG00000151632.17,0.018584669
ENSG00000116141.17,0.018559745
ENSG00000163053.11,0.01855764
ENSG00000211670.2,0.018534683
ENSG00000102575.13,0.01853383
ENSG00000124762.14,0.018523207
ENSG00000204291.11,0.01851895
ENSG00000134802.18,0.018485375
ENSG00000186197.15,0.018482018
ENSG00000088826.18,0.018455975
ENSG00000112186.12,0.018413577
ENSG00000167861.16,0.018412452
ENSG00000144331.20,0.018403808
ENSG00000147027.4,0.01840081
ENSG00000164761.9,0.018400742
ENSG00000149212.12,0.01838825
ENSG00000106278.12,0.018384742
ENSG00000182704.8,0.018347576
ENSG00000146197.9,0.018342039
ENSG00000168916.15,0.018332675
ENSG00000174640.15,0.0182902
ENSG00000178773.15,0.01828528
ENSG00000172201.12,0.01827962
ENSG00000120162.10,0.018277688
ENSG00000180269.8,0.0182766
ENSG00000176641.11,0.018267915
ENSG00000166415.15,0.018252926
ENSG00000108582.12,0.018240118
ENSG00000163683.12,0.018210603
ENSG00000121413.13,0.01817613
ENSG00000101210.13,0.01817082
ENSG00000135052.16,0.018169401
ENSG00000176387.7,0.018165372
ENSG00000104055.16,0.018158082
ENSG00000077782.21,0.018156163
ENSG00000139865.16,0.01814235
ENSG00000076864.19,0.018127877
ENSG00000228630.5,0.01810763
ENSG00000167767.14,0.018091481
ENSG00000071909.19,0.018090073
ENSG00000136193.17,0.018076072
ENSG00000115896.16,0.018049145
ENSG00000100626.17,0.018048828
ENSG00000105519.18,0.0180277
ENSG00000133466.14,0.018005088
ENSG00000169071.15,0.017988397
ENSG00000133134.12,0.017986616
ENSG00000154198.14,0.017983565
ENSG00000175920.18,0.017979844
ENSG00000171124.13,0.017968379
ENSG00000166670.10,0.017961817
ENSG00000137563.13,0.017952772
ENSG00000069535.14,0.017937278
ENSG00000170786.12,0.017936504
ENSG00000124713.6,0.017923003
ENSG00000107105.15,0.017920243
ENSG00000064300.9,0.017915426
ENSG00000165125.22,0.017907104
ENSG00000163879.11,0.01789278
ENSG00000163536.13,0.017878763
ENSG00000136542.9,0.017867096
ENSG00000160179.19,0.017854542
ENSG00000139547.7,0.017847886
ENSG00000063660.9,0.017844886
ENSG00000151025.11,0.017839938
ENSG00000143333.7,0.017833129
ENSG00000163975.12,0.017833006
ENSG00000173227.14,0.017829811
ENSG00000287609.1,0.017825587
ENSG00000124171.9,0.017820735
ENSG00000127824.14,0.017819569
ENSG00000171346.16,0.017807165
ENSG00000236699.9,0.017784193
ENSG00000176907.5,0.017774798
ENSG00000100234.12,0.01774726
ENSG00000134830.6,0.017738052
ENSG00000261115.6,0.017727356
ENSG00000170893.4,0.017724417
ENSG00000162576.17,0.017713377
ENSG00000112379.9,0.01770663
ENSG00000203685.10,0.017678194
ENSG00000228971.3,0.017667808
ENSG00000088726.16,0.017652001
ENSG00000259459.6,0.017650375
ENSG00000168447.11,0.017647892
ENSG00000160182.3,0.01764322
ENSG00000103534.17,0.017633375
ENSG00000033867.16,0.01762145
ENSG00000171649.12,0.017619995
ENSG00000167964.13,0.017619174
ENSG00000164403.15,0.01761465
ENSG00000146757.14,0.01760898
ENSG00000132386.11,0.017607918
ENSG00000108018.15,0.017606422
ENSG00000134363.12,0.017602997
ENSG00000233237.8,0.017599355
ENSG00000183723.13,0.017593209
ENSG00000213047.13,0.01759109
ENSG00000134827.8,0.017550085
ENSG00000154310.17,0.017549457
ENSG00000137142.5,0.017525831
ENSG00000137474.22,0.017525738
ENSG00000109906.14,0.01751795
ENSG00000158869.11,0.01751609
ENSG00000189221.10,0.017509567
ENSG00000160111.14,0.017500522
ENSG00000183248.12,0.017483199
ENSG00000084710.14,0.0174823
ENSG00000196502.12,0.017475275
ENSG00000143797.12,0.01746774
ENSG00000100146.18,0.017467156
ENSG00000185924.7,0.017455703
ENSG00000156804.7,0.017429596
ENSG00000170458.14,0.017421912
ENSG00000049759.19,0.017417984
ENSG00000172159.16,0.017398044
ENSG00000103888.17,0.01739609
ENSG00000109452.12,0.017393839
ENSG00000156284.6,0.017382076
ENSG00000184678.10,0.01736803
ENSG00000198763.3,0.017364217
ENSG00000185101.13,0.01736282
ENSG00000143217.9,0.017327476
ENSG00000134531.10,0.017310416
ENSG00000164938.14,0.017309632
ENSG00000165731.20,0.017303146
ENSG00000100290.3,0.017260175
ENSG00000179593.16,0.017253133
ENSG00000166165.13,0.01725213
ENSG00000124942.14,0.017244168
ENSG00000135097.7,0.017243195
ENSG00000166963.13,0.017227866
ENSG00000109501.14,0.017226594
ENSG00000159399.10,0.017221924
ENSG00000196405.13,0.017216774
ENSG00000134716.11,0.017197168
ENSG00000164930.12,0.017180746
ENSG00000184557.4,0.017157882
ENSG00000164287.13,0.017143887
ENSG00000100985.7,0.017141758
ENSG00000165238.16,0.017135644
ENSG00000075340.23,0.017129825
